admission_no,ExaminationFee,TutionFee,RefreshmentAccFee,LabFee,ProjectFee,AnnualCharges,AdminCharges,SmartClassCharges,ComputerFeeYearly,ComputerFeeMonthly,DevelopmentChargesYearly,TransportFee,PortalCharges,LateFee,TotalFee
8819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6380
8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520
8831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520
8840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120
8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520
8863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19680
8868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19680
8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520
8822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6520
8506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19695
9393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890
8461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19695
8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19695
9049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915
8414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9665
8799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915
9054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19695
8699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820
8508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860
8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915
9386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19695
8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
8796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5830
9302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14510
8234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
9360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
7729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
9211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200
8684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
9336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810
8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420
8993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
8603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
7637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6180
7556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
8974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20470
7574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090
7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9440
